City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
154,Teya,RU,60.3778,92.6267,45.05,89,85,17.18,light rain,2022-09-08 03:12:33
155,Marshall,US,34.3834,-86.3333,73.94,82,0,8.05,clear sky,2022-09-08 03:10:15
156,Aksarka,RU,66.5606,67.7975,35.74,87,71,6.49,broken clouds,2022-09-08 03:12:33
157,Antofagasta,CL,-23.65,-70.4,56.48,79,51,1.86,broken clouds,2022-09-08 03:12:33
158,Kavaratti,IN,10.5669,72.642,79.2,83,100,24.7,overcast clouds,2022-09-08 03:12:34
159,Elizabeth City,US,36.2946,-76.2511,75.22,90,0,10.36,clear sky,2022-09-08 03:12:34
160,Kefamenanu,ID,-9.4467,124.4781,91.02,24,22,7.38,few clouds,2022-09-08 03:12:34
161,Ilhabela,BR,-23.7781,-45.3581,66.74,87,63,6.17,broken clouds,2022-09-08 03:12:34
162,Nieuw Nickerie,SR,5.95,-56.9833,80.35,83,26,11.25,scattered clouds,2022-09-08 03:12:35
163,Kenai,US,60.5544,-151.2583,55.09,92,100,3.44,light rain,2022-09-08 03:12:35
164,Leningradskiy,RU,69.3833,178.4167,47.08,51,11,11.48,few clouds,2022-09-08 03:12:35
165,Tarija,BO,-21.5355,-64.7296,61.65,24,3,2.19,clear sky,2022-09-08 03:12:35
166,Khatanga,RU,71.9667,102.5,36.88,65,19,6.64,few clouds,2022-09-08 03:12:36
167,Luquillo,PR,18.3725,-65.7166,80.53,100,0,4.61,clear sky,2022-09-08 03:12:36
168,Tomaszow Lubelski,PL,50.4477,23.4162,45.07,62,76,6.89,broken clouds,2022-09-08 03:12:36
169,Alofi,NU,-19.0595,-169.9187,80.49,69,40,13.8,scattered clouds,2022-09-08 03:12:36
170,Te Anau,NZ,-45.4167,167.7167,46.09,76,47,1.01,scattered clouds,2022-09-08 03:12:37
171,Tilichiki,RU,60.4667,166.1,52.18,78,100,12.8,overcast clouds,2022-09-08 03:12:37
172,Eureka,US,40.8021,-124.1637,67.35,87,18,1.01,few clouds,2022-09-08 03:10:38
173,Ribeira Grande,PT,38.5167,-28.7,75.33,91,100,17.69,light rain,2022-09-08 03:12:37
174,Murgab,TM,37.4966,61.9714,79.47,26,0,6.49,clear sky,2022-09-08 03:12:37
175,Jalu,LY,29.0331,21.5482,70.23,57,0,9.44,clear sky,2022-09-08 03:12:38
176,Puerto Escondido,MX,15.85,-97.0667,81.43,61,75,3.44,broken clouds,2022-09-08 03:11:49
177,Dali,CN,25.7,100.1833,71.42,50,17,4.12,few clouds,2022-09-08 03:12:38
