City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
496,Manacor,ES,74.82,overcast clouds,39.5696,3.2096,Hotel Can Guixa
498,Mandalgovi,MN,76.12,clear sky,45.7625,106.2708,В.Ганбат
500,Orlik,RU,70.61,scattered clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
502,Anori,BR,79.27,scattered clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
505,Cedar City,US,76.17,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
506,Mangan,IN,76.15,overcast clouds,27.5167,88.5333,Hotel Mout View
509,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
510,Nenjiang,CN,70.79,clear sky,49.1833,125.2167,Nenjiang Apartment
511,Veraval,IN,80.82,overcast clouds,20.9,70.3667,Lords Inn Somnath
513,Trairi,BR,77.81,clear sky,-3.2778,-39.2689,janelas do mar
519,San Quintin,MX,78.64,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
520,San Policarpo,PH,84.38,overcast clouds,12.1791,125.5072,Agapita M. Nicart
522,Tikrit,IQ,86.5,clear sky,34.6071,43.6782,عماره العبطه
524,Sevierville,US,71.83,scattered clouds,35.8681,-83.5618,The Lodge at Five Oaks
530,Manono,CD,75.96,scattered clouds,-7.3,27.4167,Hotel hewa bora
531,Puerto Ayacucho,VE,75.4,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
532,Ajdabiya,LY,71.96,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
534,Anloga,GH,76.28,scattered clouds,5.7947,0.8973,Pin Drop Hotel
539,Corn Island,NI,83.73,scattered clouds,12.1694,-83.0418,Big Fish Guest House
540,Samarai,PG,81.82,overcast clouds,-10.6167,150.6667,Nuli Sapi
544,Sabha,LY,77.7,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
546,Fort Walton Beach,US,80.98,broken clouds,30.4058,-86.6188,Best Western Ft. Walton Beachfront
547,Santo Antonio Do Taua,BR,76.95,scattered clouds,-1.1519,-48.1294,Pousada Magno
548,Nago,JP,86.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
550,Tayu,ID,84.79,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
551,Japura,ID,86.18,broken clouds,-0.3167,102.35,Rumah mbah Jamah
552,Aldama,MX,74.79,overcast clouds,22.9167,-98.0667,CASA CANYE
553,Cao Bang,VN,78.85,overcast clouds,22.6667,106.25,khách sạn 88
554,Constantine,DZ,72.81,scattered clouds,36.365,6.6147,Grand Hotel Cirta
560,Nizwa,OM,78.89,clear sky,22.9333,57.5333,Orient Apartments
562,Progreso,MX,81.1,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
